Vorgangstyp,Zusammenfassung,Beschreibung,Status,Priorität,Stichwörter,Stichwörter,Vorgangs-ID,Übergeordnet
Epic,"Phase 0 – Grundlagen und Abstimmungen","Kontrakte für Daten Upload Auth GraphQL DB VPC und Zertifikate festlegen. Siehe Planung.md.",Fertig,Hoch,planung,phase-0,100,
Epic,"Phase 1 – Backend","C# Minimal API + Hot Chocolate + Npgsql/EF Core. On-Premises PostgreSQL; AWS Aurora DSQL. TLS. Keine Clean Architecture. Siehe Planung.md und Backend/README.md.",In Arbeit,Hoch,backend,phase-1,200,
Epic,"Phase 2 – Desktop-Erweiterung","Login Upload JSON-Liste Token und private Zertifikatsdateien. Siehe Planung.md und Desktop/README.md.",In Arbeit,Hoch,desktop,phase-2,300,
Epic,"Phase 3 – Frontend","React-App Login und Übersicht geleisteter Stunden. Siehe Planung.md und Frontend/README.md.",In Arbeit,Hoch,frontend,phase-3,400,
Epic,"Phase 4 – Integration AWS-VPC und Betrieb","E2E VPC Firewall öffentliche Freigaben Desktop-Zertifikate Aurora DSQL. Siehe Planung.md. Pipeline vorhanden; in AWS noch nichts deployed.",In Arbeit,Hoch,aws,phase-4,500,
Epic,"Offene Punkte – vor Implementierung klären","Klärungsbedarf aus Planung.md (Upload-Semantik Rollen Mandant Stack Zertifikate).",In Arbeit,Mittel,planung,klaerung,600,
Aufgabe,"0.1 Datenkontrakt Upload-Liste festlegen","JSON-Schema einer Upload-Liste: Felder analog Zeiteintrag + mitarbeiter_id Datums-/Zeitformate Mandantenbezug falls nötig.",Fertig,Höchste,planung,backend,101,100
Aufgabe,"0.2 Auth-Kontrakt festlegen","Login-Mutation bzw. Endpoint Token-Typ (z. B. JWT) Header-Name (Authorization Bearer) Ablaufzeit.",Fertig,Höchste,planung,backend,102,100
Aufgabe,"0.3 GraphQL-Oberfläche skizzieren","Login Upload der Zeiteinträge Abfragen für Übersicht (Filter Mitarbeiter Zeitraum).",Fertig,Hoch,planung,backend,103,100
Aufgabe,"0.4 DB-Zielbilder dokumentieren","ENTSCHIEDEN: On-Premises = PostgreSQL; AWS = Aurora DSQL. Treiber Npgsql Connection-Strings Einschränkungen DSQL dokumentieren.",Fertig,Hoch,planung,backend,104,100
Aufgabe,"0.5 Verzeichnisstruktur Backend/Frontend anlegen","C# Minimal-API-Projekt und Frontend-Gerüst anlegen; bestehende Desktop-Struktur nicht unnötig umbauen.",Fertig,Mittel,planung,backend,105,100
Aufgabe,"0.6 AWS-VPC-Konzept skizzieren","Subnets öffentlich/privat Security Groups Ports von außen (Frontend Backend-API) vs. nur intern (DB).",Fertig,Hoch,aws,planung,106,100
Aufgabe,"0.7 Desktop-Zertifikatsmodell festlegen","Private Zertifikatsdateien (Client-Zertifikat Schlüssel CA) Speicherort/Config Ausstellung und Rotation.",In Arbeit,Hoch,desktop,aws,107,100
